Category,label,Description
Electronics,2,Tradico® US AC/DC Power Adapter Charger Cord For Kobo VOX eReader Item name: us ac/dc power adapter charger cord for kobo vox ereader
Clothing & Accessories,1,"Marvel Avengers Multicolour Polyester T-Shirt for Boys DMA0007 If you’ve got an Avengers obsessed little hero, we have the perfect treat. Ranging from Iron Man T-Shirts that’ll make ‘em look cooler than Tony Stark, to Captain America to feel strong enough to withstand even Hulk’s Smash, our cool graphic prints will make them want to get out of their school clothes and ready to save the world in no time. Kids, the next time you need to lift Thor’s Hammer, fight Hydra, or come face to face with the Punisher, make sure you look the part with our cool Superhero T-Shirts."
Clothing & Accessories,1,"YAYAVAR™ Girls Net Made White & Red Colored Casual/Party Wear Frock for Girls - Set of 01 from 02-08 Years 100% brand new and high quality, light in weight and premium in quality, this White & Red colored casual/party wear frock is presented by the fabulous collection of YAYAVAR. Made from good quality fabric, it is perfect for daily use, being extremely soft to skin. Pair it with her cute sandals to keep her in comfort for hours. YAYAVAR ensures that your kid gets the most comfortable clothing at an affordable price. Your child will definitely get a large number of compliments for it."
Books,0,An Introduction To Mechanics
Clothing & Accessories,1,nauti nati Girls' Regular Fit Trousers Nautinati Black jegging.
Household,3,"VelKro New Product Folding Chair for Camping, Beach, Picnic Folding Camping Chair. Ideal for Camping, Festivals, Beach days, BBQ's and more! So lightweight, that it's easily carried in the colour coded carry case. Super strong and sturdy tubular steel frame with durable canvas-style material. This really is a fantastically well made product."
Household,3,"JERN Ultralight Strong Portable Nylon Parachute This camping hammock is made of 100% nylon, which features in durable, anti-mildew & quick-drying. The texture of it is soft and smooth, bringing you comfortable feeling while resting or sleeping. This camping hammock is very convenient to use. It comes with knotted carabiners and tree straps, thus you can easily set it up upon arrival. It definitely is a necessary gear for travel, backpacking and hiking, and a pleasure to use it indoors or in garden. weight capacity : 150 kg (330 lbs)"
Household,3,"Santosha Decor Stool Set (Design 1) Give Your House A Beautiful Look With This Set Of Nesting Stool. This Brand Brings You In The World Where You Can Find A Various Amazing Varieties Of Furniture. This Set Of Stool Comes In A Package Of 3 Stools. Stools Having Three Sizes Will Give You Enough Space For Decoration And You Are Not Using Them, You Can Store It In Area With Minimum Space. This Set Of Stool Carries Natural Walnut Finish Which Makes It More Shiny And Glossy And Gives It A Smooth Soft Touch. Use Them For Sitting Or For Keeping Your Decoration Item At Your House Or Office."
Books,0,"Brewvin Raw and Unfiltered Apple Cider Vinegar with Mother, 750ml Brewvin Apple Cider Vinegar is made from the finest apples grown in the pristine hills of the Himalayas. Brewvin Apple Cider Vinegar is brewed from 100% natural, raw, Apple fruit juice with our unique scientifically selected Yeast and Acetobacter strains. Brewvin ACV is unfiltered, unpasteurised retaining the natural residue and goodness as a mother of vinegars makes it product of choice."
Household,3,"Saanvi Creations Stainless Steel Double Side Round Peg Measure Bar Tool 30/60ML Stainless Steel Peg Measure Cups for Measuring Bar Drinks. One Side Measures 30 ml, While The Other Measures 60 ml. Essential Bar Accessory for Making Cocktails, Liquor Drinks. A Necessity for Modern Lifestyle. A Must-Have for All Bars, Homes and Restaurants."
