Category,label,Description
Household,3,"Charms Rudraksh American Diamond Gold Meena Om Sun Cuff Kada Bracelet for Men (Golden)(BR-03E Bracelet) This men's bracelet comes with rudraksh American diamond gold om sun cuff kada, gold colour plating which is of premium quality. High quality golden color alloy charm and golden beads. The bracelet is beaded by rudraksha for perfect fit."
Electronics,2,"Sony 10DMW47SS 2X 4.7 GB DVD-RW Disc 10-Pack Now you can create, edit and archive home movies and digital photos while storing and accessing data from one disc. DVD-RW discs capture all digital data brilliantly, and are large enough to hold oversized digital movie files."
Clothing & Accessories,1,Gini and Jony Boys' Regular Fit Shorts Gini and Jony boys woven plain bermuda fixed waist cotton casual wear.
Clothing & Accessories,1,Kiddeo Girls Solid Full Sleeve t Shirts(2k18)(Pack of 3) Kids solid Fullsleeve T-Shirt for girls which is made up of 170 Gsm 100% Cotton and fastness guaranteed fabrics available In different Combos with attractive colours which will make your kid feel awesome...
Books,0,"My First Book of Numbers: First Board Book (My First Books) About the Author Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
Electronics,2,Vox Leather Keyboard Case for All 7 inch Tablets (Black) Vox leather keyboard case cover for all 7 inch tablets. This product comes in black in colour.
Household,3,"Beadsnfashion Jewellery Making German Silver Bird Beads 14x7 mm, Pack of 50 Pcs. Available in a pack of 50 pcs"
Electronics,2,"Tenda FH456 Wireless N300 High Power Router with 4 Fixed Antenna Size name:FH456   Tenda FH456 802.11n High-Power WiFi Router is our salute to the medium and large size house. 4x5dBi high-performance omni-directional external antennas and amplifier technology ensure fast, stable and wide range WiFi signal up to 300Mbps and whole-home coverage for your ultimate surfing fun. The considerate timer management realizes turn on/off your router automatically, non-hassle installation, bandwidth control and WiFi security designs all are for your smart and fashionable networking life."
Household,3,"Orient Electric Hill Air 225mm Electric Exhaust Fan (Matt Grey) Keep your kitchen and bathroom fresh with the Orient electric Hill Air 9 inch grey exhaust fan. The fan is completely made of metal and flaunts a lovely matt grey colour with a 225mm sweep size. Equipped with a powerful 1300 RPM motor, the fan has four blades and comes with a twelve months warranty."
Household,3,Forzza Hugo Four Seater Dining Table Set (Light Walnut) The Hugo dining table set comes with a table and 4 chairs. It is made in metal and engineered wood. The classic design of the table and the chairs are ideal for any kitchen or apartment. The chairs comes with upholstered seats for extra comfort. This comes to you at an unbelievable no-regret price.
Electronics,2,"Samsung 32GB 95MB/s EVO Select Micro SDHC Memory Card (MB-ME32GA/EU) Size name:32GB   Get the most out of your smartphone or tablet PC with Samsung's EVO Select 32GB micro SDXC Memory Card. This high-performance memory card features read speeds of up to 95MB/s for transferring music, photos, and videos and is UHS-1 enabled to capture Full HD video. Waterproof, temperature proof, magnet proof, and X-ray proof, this reliable memory card ensures your files remain safe during life's little mishaps. An included SD adapter lets you use the card with your digital camera, laptop, or desktop computer."
Clothing & Accessories,1,"Weavers Villa Women's Soft Polycotton Scarf (Multicolour, Medium) -Set of 10 Enrich your look with the set of 10 range of the summer scarf these are very elegant, colourful and trendy scarf. These scarf are made from 100 % polycotton yarn, chiffon yarn and cotton yarn. Soft, lightweight and skin-friendly. These scarves are not only true but also stylish and comfortable to wrap around at the same time. Wash Care: Light hand wash. Size: 50 cm x 175 cm and size: 70 cm x 175 cm. Think trendy. Be trendy."
Books,0,"Miles TS-623 Gun Tacker Handle lock for easy storage, soft grip rubber handle for extra working comfort."
Clothing & Accessories,1,"DAMEN MODE Women's Cotton Check Shirt Damen mode presents a complete fashion wardrobe that complements every facet of your personality at work, when you are relaxed, while you party and for those special occasions. Discover a tempting range of work wear, relaxed wear, club wear and fashion accessories."
Clothing & Accessories,1,Cherokee by Unlimited Girls' Regular Fit Skirt Cherokee kids navy skirt made of 100% cotton georgette having cf-16
Clothing & Accessories,1,"Chalk By Pantaloons Boys' Plain Regular Fit Shirt Blue colored solid t-shirt, featuring round with hood, full sleeves and regular fit pattern. Made from cotton material for maximum comfort."
Books,0,50 World’s Greatest Short Stories 
Household,3,"Durfi 6-inch Queen Cotton Candy Memory Foam Mattress (72x60x6 Inches, Multicolour)"
Household,3,"Lal Haveli Designer Handmade Patchwork Decorative Silk Floor Ottoman Cover Footstool From Handmade Expressions, a fair trade group sometimes all you need is one work of art to bring an entire room together. Silk fabric - they all lend a hand in giving this handcrafted ottoman its fantastic worldly flavor. Because each is handmade using recycled textiles, no two are exactly alike. Indian ottomans and floor pillows look great in any setting, and are a great and affordable way to add some comfortable seating for your guests!"
Household,3,Chilifry Wooden & Iron Rocking Chair (Multi-color) Rocking Chair Seat Folding This Rocking Chair Is Fully Portable & Easy To Dismantle. Easy To Carry From One Place To Another. Relax Your Back Pain & Heals Your Mind While Rolling On It.
Electronics,2,Punta 15.4 Led Monitor with HDMI 15.4 Led HDMI and VGA Input Size - 39.1cm
Household,3,Zessta Tyre Dresser (250 ml) Zessta tyre dresser is ideal for an automobile owner who wishes to keep his or her vehicle clean. Zessta tyre dresser powered by German technology offers super rich shine that does remain for a long period of time. It even helps you in nourishing the tyre to safeguard the fluctuations in tyre temperature at high speeds.
Household,3,Sai Mosaic Art Pastel Mix tumble dark blue Small glass mosaic tiles in beautiful assortment of pestal colour family.
Household,3,Wisdom Seatings Visitor Stacking Chair (Black) We are leading manufacturers focused on providing great furniture. Check is our priority and we do check before.
Books,0,"Computer Security, 3ed About the Author Dieter Gollmann: Technical University of Hamburg-Harburg"
Clothing & Accessories,1,"BODYCARE Snowhite Printed Panty for Girls Pack of 6 from Bodycare Brings a new collection of Disney Printed Girls Panty Pack of 6, 100% cotton fabric with attractive design and stylish trendy look."
Household,3,"Bluewud Freddie Dressing Table with Shelves, Mirror and Hanging Hooks (Wenge) Color:Wenge   Bluewud designs, manufactures and markets range of innovative and contemporary furniture and home decor products. Our designs complement and connect with our consumers' lifestyle, imagination and aspirations. Our manufacturing facility in India is located in Noida, Delhi NCR which is completely equipped with state of the art machinery."
Household,3,DesignMe Covers Sets Seat Mat for Dining Chair (Pink)-Set of 6 Chair covers made of the beautiful colorful pattern which is attractive and brings joy to the people around. This cover does not let the seat cushions get dirty. Completely washable. Now you can be comfortable with your kid who is learning to eat. Made up of foam on the inside with piping all around to gives a sturdy and long life to the cover.
Household,3,"Electric Portable Mini Dehumidifier for Damp, Mould, Moisture in Home, Kitchen, Bedroom, Office, Bathroom 250ml/Day Extraction Capacity *** Promotional Price ***"
Electronics,2,Apple leaders Printer Dust Cover for HP Laserjet Pro P1108 Printer Apple leaders Printer Dust Cover for HP LaserJet Pro P1108 Printer
Clothing & Accessories,1,"Chalk By Pantaloons Boys' Regular Fit Trousers Khaki colored solid trousers, featuring full length, buttoned closure and regular fit pattern. Made from cotton fabric for maximum comfort."
Books,0,"FHD2-Foundation Course in Hindi-2 This help book is published by Neeraj Publications based on IGNOU Course which includes previous years question papers, Important guess question, chapter wise summery, revision, notes, chapter wise important study material to get best marks in IGNOU Examinations. You can buy this with confidence and for any help or query please WhatsApp on 8860964743"
Household,3,"Forzza Elly Kid's Rocking Chair (Matt Finish, Yellow) Color:Yellow   Made for kids, this rocking chair is very comfortable and adds color to your space. Made in birch ply wood pressed together, this chair is highly durable without losing functionality and aesthetics. The frame can be wiped with a soft damp cloth. Avoid using sharp objects that can scratch the surface or tear the fabric. Keep away from sunlight. Delivered in a knock down state. Assembly will be provided by the seller. Adult supervision is recommended."
Clothing & Accessories,1,"DIGIMART Girl's Red Cotton Crepe Stripe Printed Frock (SBNGC0422, Size:30)… DIGIMART brings to you this Stylish yet Comfortable Boy's Solid Kurta and Dhoti with Dupatta Set. Adorn it for a perfect Classy & Trendy look. Pair it with a juti or a mojari for the Royal feel."
Books,0,"Practice Sets The Oriental Insurance,The New India Assurance, National Insurance,United India Insurance Administrative Officers (Generalists) Preliminary Exam. (Scale-I)"
Books,0,GMAT Official Guide 2018 Quantitative Review: Book/Online (Old Edition) 
Books,0,"Clinical Pathology, Haematology and Blood Banking (for DMLT Students) Clinical Pathology Haematology & Blood Banking For Dmlt Students"
Electronics,2,AmazonBasics USB Type-C to USB 3.1 Gen1 Female Adapter - Black Colour:Black   An Amazon Brand.
Electronics,2,Tantra MAGICO Smart Mini 3-in-1 Bluetooth Receiver for Stereo/Headphone/ Car/Home Theatre/Wired Speakers/Bluetooth Adapter with Clip and Mic for Handsfree Call and Music
Clothing & Accessories,1,"FNocks Casual Ankle Length Slim Fit Women Jeans (Blue Black & Grey) 28 30 32 34 36 If You Are Looking To Be A Trend Setter When You Go Out to the fanciest of occasion FNocks Brings For You Just The Range Of Denims That Gives You Stylist Looks with Comfort. Presenting The Blue Colored Low Waist Ankle Fit Denim. The Fabric, The Stretch, The Finishing, The Look And The Price All Are Perfectly Tagged For This Product. If You Believe In Authentic Then This Is The Right Choice For You."
Household,3,"Asian Hobby Crafts Cotton Candle Wicks Thread (3 Inch) Pack of 50 Color:3"" 50pcs   Asian Hobby Crafts candle wicks are pre tabbed and pre waxed wicks used for candle making. Available in 3"", 5"" and 7"" sizes for you to choose from according to your requirements. Low smoke production guaranteed. Made from braided cotton and firm base."
Electronics,2,Parallel Universe Micro USB to USB Type C Adapter (White)
Clothing & Accessories,1,"SRI Girl's and Women's Party Waist Belts (SRI-LBF-002, Gold with Red, Medium) Sleek and truly feminine, this red golden belt from the collection of SRI makes for a great pick against your valuable currency. Made from ametal material, this belt is light in weight and durable in nature too. Further, it comes up with an excellent finish and attractive make that will appeal the style loving women out there. Perfect for party wear, this belt will go well with a variety of your outfits."
Clothing & Accessories,1,"Summer Infant Keep Me Clean Disposable Potty Protectors Travel Pack, (Multicolor, 10 Count) Size:One Size   Keep me clean potty protectors provide a convenient hygienic solution for public restrooms. These toss away protectors are extra large to fit any toilet and have adhesive backing to secure it in place."
