Class Index,Class Name,Question Title,Question Content
0,Health,Fibromyalgia how it start?,do's anyone know how Fibromyalgia starts and why some people get it and there people dont?
3,Science & Mathematics,Why do animals reflect different eye colors in the headlights?,"Why do humans show red (i.e. ""red eye"" from camera flash), and other animals have red, green, orange colors.  Is the color always the same for each animal type (i.e. dogs are always one color, cats always another color), or does it vary within a species?"
0,Health,Resources for beginner runners?,I want to run a 5-k in the next 3 months.
1,Sports,if i have a idea for a pool toy how would i shop it to a manufacturer or develop it myself?,it is a water toy that can be made from the same product as the water noodle
1,Sports,kobe was so on fire last night?,kobe bryant blew up for 81 points last night (january 22) is that a supernatrual person or what opinions any 1?
3,Science & Mathematics,what is the orgination of thought? why at times human is happy and sad for no valid reason?,does mind control the man?
1,Sports,"What is the most elastic commercially available material, and where can I get it?","I'm looking for something that can be used in running shoes that would give additional spring, as well as a cushioning effect."
1,Sports,Do fish feel pain?,"Seems all my searching is bringing me to a 50/50 result on this question. So, can anyone set the record straight? Do fish feel pain?"
3,Science & Mathematics,Trig Function?,"What are the exact answers to the function:\n(arcsin(x)/arccos(x)) = arctan(x)  ?\n\nOne solution is 0, but what is the other?  \nI know the answer is around 0.45011623, but is there any way to express the answer exactly?  \n\nie:  An exact answer would be sqrt(2), while an approximate answer would be 1.414"
1,Sports,what are differences in boxing and wrestling?,like moves or promotions or techniques
2,Entertainment & Music,Why do they put commercials over the bands in the Rose Parade?,Some of these bands pay hundreds of thousands of dollars to be in the parade.  Why not let Mom see their kids?
3,Science & Mathematics,If light is slowed... will it change from energy to mass?,Though according to theory of relativity.. light is constant and cannot be speeded or slowed...this question is purely theoretical...
2,Entertainment & Music,Which is the best music video of the year?,"Where can I download, not view it from"
2,Entertainment & Music,were can i get 100% free music(thats legal)???,is it legal
0,Health,What are some ways to treat a ear infection with out medicine?,"I have a double ear infection, But I am on a lot of medicines now.  I just had a baby last month and had a c section.  I am wanting to know if there are some home remedies for ear infection?"
3,Science & Mathematics,"What is e^x, what's its origin and where has Euler's formula come from (e^i(theta)=cos(theta)+isin(theta))?","We know that derivative of log x = 1/x\nWhy? I mean, that's where we start. But nobody tells us WHERE has log to the base 'e' come from. And what about the proof of Euler's identity?"
0,Health,why does the bird flu considered to be such a frightening disease?,I seem that the entire world is dealing with it- what makes it different then other epidemic diseases?
2,Entertainment & Music,What is your favorite movie?,and why?
3,Science & Mathematics,What is a Period ( not a vig*nal question a scientif question lol )?,It has to do with Transportation. Need a good logical answer please
0,Health,what can i do if im really fat?,please help me!!!
3,Science & Mathematics,which is the tallest mountain in america?,"this question has a trick, so beware..."
2,Entertainment & Music,HOW CAN I GET MORE EXPOSURE FOR SONGS AS A SONG WRITER?,"I WRITE CONTEMPORARY GOSPEL SONGS AND HAVE BEEN TOLD \nBY MANY, AFTER HEARING THEM, THEY'VE FELT VERY ENCOURAGED AND INSPIRED.\nAS A SONGWRITER HOW CAN I GET THESE SONGS MORE EXPOSURE."
3,Science & Mathematics,why should'nt we look at the sun?,why should'nt we look at the sun
1,Sports,"Does anybody know how to throw any of the ""junk"" pitches?","By junk pitches i mean curvball, knucklball, palmball, Eephus, screwball etc."
0,Health,What is diffence between AIDS an HIV??,Are they both same?
3,Science & Mathematics,About my last question regarding Maxwell Wheel.?,"In the Maxwell Wheel the angular velocity is w = v/r where r is the pole's radius and v is the translational velocity of the pole. But the v is also the tangential velocity of each point at the surface of the pole. So I understand that these velocities are equal (Why is that?) Furthermore, the angular velocity of the wheel is equal to the angular velocity of the pole, right? But in that case w=V/R, when V supposed to be the translational velocity of the wheel, don't it? But the translational velocities of the wheel and the pole are equal (they're falling together), so V=v,\nbut R!=r (not equal) so this is a paradox. Where am I wrong?"
0,Health,What is premature menopause?,What are the chances of that happening?
1,Sports,who wants to learn martial arts in Ohio?,I am a Martial Arts Instructor looking for those near the 45331 area code who wish to learn Martial arts
3,Science & Mathematics,Why is it colder in December than it is in July?,"This is an extra credit question on my science homework and I REALLY need the extra credit, so please help me!"
3,Science & Mathematics,is it true that if you drink Red Bull and then you take a drug test it would make you test positive?,"i had this discussion at club and my friends belived that, but i did not think it was true because each drug test is specific to a drug.Plus isnt the active engredient in red bull cafeine?"
1,Sports,"Can I use 26"" mountain bike rims for my cyclocross-frame bike?","It's my first time building a bike from scratch and I found some wheels I really like but I was told that they aare 26"" rims and not the standard 700c clinchers I think I need. Would it still be compatible with my aluminum cyclocross frame?"
0,Health,Why are most shots taken on the left arm?,"Why is it that my shots or blood pressure reading are always done on my left arm, and never my right?  Even the blood testing station at my hospital was designed specifically for my left arm.  I understand that most people in the world are right-handed, but what happens if you're left-handed?  Can I request to get my shots done in the other arm?"
2,Entertainment & Music,Can anyone think of songs about evolution/Charles Darwin?,I can only think of Dylan's 'High Water'.
3,Science & Mathematics,What led scientists to first discover that it is oxygen what animals breathe in and carbon dioxide what animal,What led scientists to first discover that it is oxygen what animals breathe in and carbon dioxide what animals breathe out? the discovery of cellular respiraton?
3,Science & Mathematics,Does it really take more energy to turn a light bulb on than to run it for 30 minutes?,"As a child, after 2 minutes of turning on and off a light, I distinctly remember having been told by my mother, that it takes more energy to turn on a light bulb, that it does to run it for 30 minutes.  Terrified of the environmental ramifications I never did that again.  However I'm wondering if it is true for a standard old light bulb.  I seriously doubt it.  However what about a halogen, florescent, or even LED?  Any thoughts?"
1,Sports,about Andy Roddick!!!?,"How popular is Andy Roddick in U.S?and what about his girlfriend?\nhe has been defeated by Roger Federrer for many times,so would you like to say something?"
2,Entertainment & Music,Harry Potter?,I want to get my friend a birthday present and he is a HUGE fan of Draco/Harry as a couple... i have been searching for the right gift featuring the two in a yaoi situation for a week to no avail. I thought a doujinshi would be a good idea but all the good ones are either not in enlish or sold out. I've also been looking for posters yet again to no avail... does anyone have any Ideas on where to find a good present Harry/Draco Draco/Harry for him.. thanks a bunch ~ Ali\nPs i was not sure where to post this... if you thinks its in the wrong place sry...
2,Entertainment & Music,What is the best music sharing website?,Either file sharing or paying download music sites??
0,Health,does proactiv work?,have any of you tried proaciv? does it work well?
0,Health,"what is vitamin co q-10 good for,  is red wine good for your health? what to do to reduce chlesterol?","what could be the best way to reduce your cholesterol without the use of medecine,"
0,Health,HOW CAN I LOOSE MY WEIGHT ?????????,ACTUALLY I M HAVING THE PROBLEM OF ARTHRITIS I HAD THE MEDICINE LAST YEAR BUT NOW I HAVE CHANGE THE MEDICINE WHICH MEDICINE I HAD LAST YEAR THAT MEDICINE HAVE GAINED MY WEIGHT AROUND 63 BEFORE THAT I WAS HAVING WEIGHT AROUND 50 IN THE AGE OF 30 NOW MY AGE IS 35 SO PLZ TELL ME HOW CAN I LOOSE MY WEIGHT I HAVE DONE LOTS OF EXERCISE BUT I CANNOT USE MY JOINTS BECAUSE I M HAVING A PRAOBLEM SO TELL ME THE WAY HOW CAN I LOOSE MY WEIGHT AND TELL ME HOW CAN I HAVE A PROPER DIET
2,Entertainment & Music,"I am the oldest child, and the youngest child. I was the first child, the pride and joy, and the last child,?",the baby of the family. What kind of child am I?
2,Entertainment & Music,Best foreign movies?,"Oldboy, Sympathy for Mr. Vengeance, J.S.A, High Tension, Amelie, A Very Long Engagement, Audition, Layer Cake, Night Watch. Any others?"
3,Science & Mathematics,How come the Cro Magnons ; the ancestors of Homo Sapiens had larger cranial capacities than us?,I have read that they were more intelligent then us.\nWhy is this exception in the evolutionary trends?
1,Sports,"Why do they call football games ""bowls""?","There's the Super Bowl, the Rose Bowl, the Pineapple Bowl ... why not ""Super Plate?"" Or ""Super Mug?"" That would fit the traditional alcohol consumption ..."
1,Sports,Does anyone have the UFC dvd 33-39?,i would like to buy any UFC dvd's.please email me.thanks.
0,Health,What should my diet consist of if I am looking to increase muscle mass?,Except for the obvious high in protein and carbs.
2,Entertainment & Music,whats ur favorite song?,it can be old or new. i need new music.
2,Entertainment & Music,is anyone excited for the new disney channel movie?,"i sound like im like 12, but is anyone excited for the new High School Musical movie on disney channel coming out on friday? ;)"
2,Entertainment & Music,What is the best romantic movie EVER !!?,"what is the most romantic movie u've ever seen?  Old or New doesnt matter, as long as its good!!"
0,Health,What are fissions?,Does surgery need to be done to remove them?
2,Entertainment & Music,Does anyone have connections between the godfather triogly and real life mafia event or people!?,im doing my reseach paper on there connections
0,Health,What Can i do to make myself do my studying- I just cant be botherd?,I am lazy and I need an incentive to work
1,Sports,do any of you do BOXING?,if you do Boxiung i do boxing to so come give m advise
1,Sports,"Why is it when the Bungals have 1 good season out of 15 they are suddenly ""god-like""?","but when the Steelers have been consistantly good for many many many years, everyone drops them like a hot potato?"
2,Entertainment & Music,Did u see the finale episode of Friends?,I didn't :-( How was it? What happened?
0,Health,what is PCOS?,"It has something to do with ovulation and overweight women, but I don't know what exactly it is."
0,Health,"The term slipskin, which is used by morticians and funeral homes, what does it mean?",How and or why does it occur to deceased bodies? We recently experrienced the loss of a stillborn baby. The baby had red pockets and patches over the entire body and face. We were told that we could not have an open coffin because of the condition ... slipskin. Any information?
1,Sports,what is the best Lake Tahoe ski resort to learn how to snowboard?,I've been a skier all my life and want start snowboarding.
1,Sports,Cuba is now allowed to play in the World Baseball Classic. Whats your opinion on the decision?,"I think its a great move and the US should'nt have locked them out to begin with. Yes they are comunist, but its BASEBALL! It doesnt matter what government they have."
1,Sports,Steelers-Colts?,"During the season game between the Colts and Steelers the Steelers were beat 26-7. Big Ben injured his thumb early in the game, but played it out. The Steelers held the Colts to two touchdowns and 4 field goals (one at the end of the game), and they missed one. The Steelers did not get on their game plan of running the ball 35 times (in which they are something on the order of 100-2 if doing so) running the ball only 20 sometimes. Given injuries and a lack of a game plan do you think the Steelers could beat the Colts and if so does this mean the steelers will go to the Superbowl?"
1,Sports,Are there any good websites to download soccer matches?,Looking to rip and burn them to dvdr
0,Health,anemia losss of weight?,how to treat
1,Sports,Who will win the SUPERBOWL 2006??,Who will win the SUPERBOWL 2006
3,Science & Mathematics,What is the basic characteristic of living being? or how would u identify a alein object is a living being?,hey is there any sure shot method
0,Health,How can I lose 5-10 pounds in two weeks but stay healthy?,Im a 14 year old that has a special dance coming up and I have to lose at least 5-10 pounds in 2 weeks.  I play sports so I dont want to get sick.
2,Entertainment & Music,What is the name of that movie...?,"I think it was called ""First Kiss"" or ""Last Kiss"" or maybe even ""Last Dance"" but it is an older movie set in the earlier days. I dont have much information to give you but a part of the movie is about this teenage girl that the whole neighborhood kids looked up to b/c she was already developing and they thought it was b/c she rubbed cream on her boobs and also when they were invited to her house they found black underwear in her drawer which represented she wanted to have sex??? I hope someone will remember the name for me b/c that use to be my favorite movie but I haven't seen it for so long I can't remember anything else."
1,Sports,Who will win the AFC championship?,denver or pittsburgh
0,Health,Is it true that women can't handle stress that well than men?,all ladies & men feel free 2 answer.
2,Entertainment & Music,how do you tune to a C on a guitar?,"To play stuff liek Bleeding Through, As I lay Dying, It Dies Today, etc."
3,Science & Mathematics,Is mastrubation truly bad for you?,"Some rumours say it can make you go blind, give you forms of cancer others just say its a waste of time. Please enlighten me as to the dangers."
0,Health,Are there any hairloss products for men that ACTUALLY work?,Would be most interested in answers from personal experience...
3,Science & Mathematics,What Would I Use This Formula For: 10.6802 x T x (D-T)?,D= Outside Diameter.\nT= Thickness in Inches
1,Sports,Why is the drop kick rarely used in the NFL?,"With the recent drop kick by Patriots quarterback Doug Flutie, why is this such big news? They said it wasn't used since 1941.\n\nhttp://patriots.bostonherald.com/patriots/view.bg?articleid=119581"
3,Science & Mathematics,(6x+2)(4x-15)(x-5)(x+8)=66?,"Sorry about the last one, this is the equation that I meant to post. I wasn't thinking straight last time. Sorry again about that."
3,Science & Mathematics,Can you tell me some unsolved mathematical problems?,Or the resources to look for them
